"Time (s)","X (µT)","Y (µT)","Z (µT)"
4.372506608E1,-3.806033707E1,3.457577896E1,-2.777478027E1
4.373506208E1,-3.800479507E1,3.447647095E1,-2.773861694E1
4.374505708E1,-3.823381042E1,3.456438446E1,-2.786198425E1
4.375505308E1,-3.811534882E1,3.440766525E1,-2.786209106E1
4.376504908E1,-3.800571442E1,3.436648941E1,-2.767932129E1
4.377504508E1,-3.808776474E1,3.443436050E1,-2.771217346E1
4.378504008E1,-3.812419510E1,3.432937622E1,-2.766195679E1
4.379503587E1,-3.820513535E1,3.443096924E1,-2.784091187E1
4.380503187E1,-3.805187607E1,3.431686020E1,-2.787345886E1
4.381502787E1,-3.795298004E1,3.436679077E1,-2.765534973E1
4.382502388E1,-3.804125214E1,3.447256470E1,-2.785337830E1
4.383501888E1,-3.815852737E1,3.433834839E1,-2.788507080E1
4.384501488E1,-3.816180038E1,3.458528900E1,-2.791419983E1
4.385501087E1,-3.812003708E1,3.440790558E1,-2.782017517E1
4.386500687E1,-3.795374680E1,3.454910660E1,-2.784950256E1
4.387500187E1,-3.799017715E1,3.453586960E1,-2.795817566E1
4.388499788E1,-3.806883621E1,3.451854706E1,-2.792207336E1
4.389499388E1,-3.807065582E1,3.459990692E1,-2.780418396E1
4.390498988E1,-3.807109833E1,3.455723953E1,-2.754803467E1
4.391498487E1,-3.798010635E1,3.467792130E1,-2.746281433E1
4.392498087E1,-3.806321716E1,3.463380432E1,-2.758641052E1
4.393497687E1,-3.807798767E1,3.434999847E1,-2.762399292E1
4.394497288E1,-3.798386002E1,3.452168655E1,-2.752793884E1
4.395496788E1,-3.806998444E1,3.454661179E1,-2.761891174E1
4.396496388E1,-3.805143356E1,3.438452148E1,-2.763436890E1
4.397495987E1,-3.807224274E1,3.441869736E1,-2.770068359E1
4.398495587E1,-3.793253326E1,3.437692261E1,-2.759870911E1
4.399495087E1,-3.803006363E1,3.452033234E1,-2.762306213E1
4.400494688E1,-3.786696625E1,3.447890854E1,-2.762818909E1
4.401494288E1,-3.799707794E1,3.457054901E1,-2.759373474E1
4.402493888E1,-3.796332932E1,3.450403976E1,-2.781088257E1
4.403493487E1,-3.794738388E1,3.455044174E1,-2.780656433E1
4.404492987E1,-3.808106232E1,3.451863098E1,-2.778759766E1
4.405492587E1,-3.792597198E1,3.452973938E1,-2.759342957E1
4.406492188E1,-3.809885406E1,3.459431458E1,-2.762904358E1
4.407491788E1,-3.802565765E1,3.459212875E1,-2.766186523E1
4.408491288E1,-3.793499374E1,3.457660675E1,-2.755632019E1
4.409490887E1,-3.818334579E1,3.472019958E1,-2.773841858E1
