"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.521097458e0,-7.849964197e0,5.186872047e-1,-7.635183102e-1,7.904045453e0
2.531149458e0,-8.601692181e0,-5.762343317e-1,-8.820763086e-1,8.665980210e0
2.541201458e0,-9.130966939e0,-9.085970861e-1,-5.117098685e-1,9.190318433e0
2.551253458e0,-9.206729313e0,-5.508205783e-1,2.908217955e-1,9.227775748e0
2.561306458e0,-9.472403403e0,-3.130523247e-1,1.366004301e0,9.575510208e0
2.571358458e0,-1.000169044e1,-1.065508872e-1,2.334773183e0,1.027114067e1
2.581410458e0,-1.025324234e1,5.592411536e-1,3.064947892e0,1.071613898e1
2.591462458e0,-1.022844195e1,1.941110120e0,3.257417182e0,1.090869837e1
2.601515458e0,-1.022957515e1,3.421681257e0,3.040702997e0,1.120705068e1
2.611567458e0,-1.022524353e1,4.655578246e0,3.229220154e0,1.169007600e1
2.621619458e0,-1.024089302e1,4.826129247e0,2.050685188e0,1.150533455e1
2.631671458e0,-9.900037766e0,4.849800530e0,2.077132144e0,1.121810104e1
2.641724458e0,-9.165474283e0,4.353327482e0,2.772864268e0,1.051884762e1
2.651776458e0,-8.047062727e0,3.240145676e0,3.394563040e0,9.315407708e0
2.661828458e0,-6.983053665e0,1.719956145e0,3.867226810e0,8.165582088e0
2.671880458e0,-5.865447271e0,1.721122080e-1,4.134718215e0,7.178369524e0
2.681932458e0,-4.424794491e0,-7.286431772e-1,4.042787122e0,6.037702781e0
2.691985458e0,-3.302440742e0,-1.280802768e0,3.748710766e0,5.157460906e0
2.702037458e0,-2.498097757e0,-1.627882379e0,3.470749336e0,4.575652347e0
2.712089458e0,-1.946173809e0,-1.706163733e0,3.151752148e0,4.078250701e0
2.722141458e0,-1.529848546e0,-1.515498310e0,2.899145415e0,3.611400814e0
2.732194458e0,-1.286339496e0,-1.228273137e0,2.616471714e0,3.163739627e0
2.742246458e0,-1.176467975e0,-9.065511453e-1,2.260104532e0,2.704437903e0
2.752298458e0,-1.008794389e0,-4.913368535e-1,1.962220908e0,2.260395743e0
2.762350458e0,-8.301590270e-1,-1.284715140e-1,1.687213492e0,1.884770094e0
2.772402458e0,-6.093664098e-1,1.338117760e-1,1.481033067e0,1.607075592e0
2.782455458e0,-4.496350962e-1,1.807614094e-1,1.216034330e0,1.309040067e0
2.792507458e0,-2.920684218e-1,2.991084695e-2,9.426354825e-1,9.872994859e-1
2.802559458e0,-4.517500341e-2,-1.048721516e-1,9.784572798e-1,9.850977604e-1
2.812611458e0,2.578230339e-1,-2.144211987e-1,1.135211776e0,1.183703909e0
2.822664458e0,6.663141972e-1,-4.536892632e-1,1.173710428e0,1.423869631e0
2.832716458e0,1.119778050e0,-8.806970966e-1,1.101144874e0,1.800569435e0
2.842768458e0,1.642543688e0,-1.367367580e0,9.899548061e-1,2.355345916e0
2.852820458e0,2.190605550e0,-1.843568915e0,9.075317234e-1,3.003516747e0
2.862872458e0,2.682938769e0,-2.223270728e0,8.506201887e-1,3.586732200e0
2.872925458e0,3.051166005e0,-2.536372461e0,7.130077225e-1,4.031275141e0
2.882977458e0,3.326223122e0,-2.813333724e0,4.806024619e-1,4.382874129e0
2.893029458e0,3.496901593e0,-3.114949188e0,2.210990113e-1,4.688295422e0
2.903081458e0,3.800322969e0,-3.434935141e0,-2.254890277e-1,5.127580267e0
2.913134458e0,4.096587937e0,-3.669635945e0,-4.772387049e-1,5.520508806e0
2.923186458e0,4.280802128e0,-3.815179574e0,-4.605191765e-1,5.752646344e0
2.933238458e0,4.406381024e0,-3.940560250e0,-2.838998616e-1,5.918176066e0
2.943290458e0,4.448679782e0,-4.106493706e0,-1.059246504e-1,6.055184753e0
2.953342458e0,4.524783048e0,-4.298702209e0,-4.546681602e-2,6.241359591e0
2.963395458e0,4.611594320e0,-4.460176578e0,-3.846064568e-2,6.415719484e0
2.973447458e0,4.696661367e0,-4.637679626e0,-3.085519055e-2,6.600579699e0
2.983499458e0,4.717290929e0,-4.821990295e0,-2.418821353e-2,6.745740077e0
2.993551458e0,4.649466151e0,-4.974968367e0,-2.917778883e-3,6.809394559e0
3.003604458e0,4.605677522e0,-5.116594362e0,8.328421315e-2,6.884674253e0
3.013656458e0,4.615184510e0,-5.212736621e0,1.559020086e-1,6.963968451e0
3.023708458e0,4.518917706e0,-5.334515412e0,2.692274433e-1,6.996438760e0
3.033760458e0,4.382604491e0,-5.525205978e0,4.418249702e-1,7.066139861e0
3.043813458e0,4.349099945e0,-5.689303408e0,5.659034711e-1,7.183529101e0
3.053865458e0,4.485138341e0,-5.762433364e0,6.212672478e-1,7.328579481e0
3.063917458e0,4.523928185e0,-5.804484785e0,6.461734629e-1,7.387523942e0
3.073969458e0,4.480555878e0,-5.828866505e0,6.793651825e-1,7.383265048e0
3.084021458e0,4.308341344e0,-5.929250919e0,6.309256786e-1,7.356350237e0
3.094074458e0,3.912529868e0,-6.179459124e0,5.030728000e-1,7.331213219e0
3.104126458e0,3.282205283e0,-6.527262036e0,2.699121706e-1,7.311010449e0
3.114178458e0,2.625904443e0,-6.891355290e0,-4.943937778e-2,7.374862448e0
